id,created_at,hashtag,videoID,desc,commentCount,diggCount,playCount,shareCount,downloadAddr,nickname,userid,uniqueId,u_diggCount,u_followingCount,u_heart,u_followerCount,u_heartCount,u_videoCount
634,2022-09-26 19:05:39.173108+00,macron,6972187555815001350,Ça marche tellement bien avec ce film 🤣🤣🤣 #macron #cauet #humour,2868,260000,3900000,20500,https://v16-webapp.tiktok.com/0f990c00da0f2e25821e1ebceb65e924/63320621/video/tos/maliva/tos-maliva-ve-0068c800-us/90f19bc2ce834cc6a8cbe4f5e409bb9b/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=3502&bt=1751&cs=0&ds=3&ft=eXd.6H-qMyq8ZZSyEhe2NXPwyl7Gb&mime_type=video_mp4&qs=0&rc=OmlmZjRlZzVpNTkzOzg7OUBpajh1Z21pdTw1NjMzNzczM0BjYzBfNS4xXi0xLTRgL2JhYSNhXnBgaWE1cy5gLS1kMTZzcw%3D%3D&l=20220926190538010217028216213CE0A0&btag=80000,Cauet,6753166804367901701,cauetofficiel,200,18,31000000,2000000,31000000,375
635,2022-09-26 19:05:40.270498+00,macron,6934475359555439878,regarde jusqu'à la fin ! je suis mort 😂😂 #macron #president #pourtoi #mdr #politique #humiliation,3644,254300,1900000,8051,https://v16-webapp.tiktok.com/5338046d815651b223f06db79412f915/63320636/video/tos/useast2a/tos-useast2a-ve-0068c003/5a4a2846c54f46e3a51fc1e49f349497/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=402&bt=201&cs=0&ds=3&ft=eXd.6H-qMyq8ZuSyEhe2N7tjyl7Gb&mime_type=video_mp4&qs=0&rc=aTc2N2ZmODw1Z2VnN2U1NUBpM3lzNzRwdmk2MzMzOzczM0A2NWMvMWFfX2AxXl5eLmFhYSNzaDZkZS1yNXJgLS0xMTZzcw%3D%3D&l=20220926190539010217028216213CE14C&btag=80000,user1288738752629,6934386649422824454,bestof_replaytv,28,0,320300,9406,320300,25
636,2022-09-26 19:05:41.409366+00,macron,6859845475118370054,Et oui mes chers compatriotes je répond à toute vos questions ! Même les plus indiscret 😆#humour#brigitte#macron#thug#funnyvideos#brigittelesang#fun#,7917,251300,1700000,14600,https://v16-webapp.tiktok.com/3c8f311e5b9e1405f835aa127713cb09/63320625/video/tos/useast2a/tos-useast2a-ve-0068c001/82a71906d53e438c95f205534b484094/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1422&bt=711&cs=0&ds=3&ft=eXd.6H-qMyq8ZdSyEhe2NJZ3yl7Gb&mime_type=video_mp4&qs=0&rc=Ojg2aTRlNWZlZzs2Zzc5N0Bpand0NmxpaTprdjMzNzczM0BhXl42MmIvXzExNmMxYS4xYSNraXFmNV9gL21fLS02MTZzcw%3D%3D&l=20220926190541010217095229173DBFDA&btag=80000,Macron&Brigitte,6822177977641714694,macron_brigitte_forever,991,2,334200,7932,334200,34
637,2022-09-26 19:05:42.852718+00,macron,6965506191833304326,La fin🤣 #president #drolee #mdrrr #rir #hahaha #macron #youtube #fy #pourtoiii #pourmoi #🤣🤣🤣,3128,249900,1400000,1596,https://v16-webapp.tiktok.com/b567e6f922d61fa7412cc97ed5ae488d/6332062a/video/tos/maliva/tos-maliva-ve-0068c800-us/8855ac8566da4a899ee2393fa84bc133/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2276&bt=1138&cs=0&ds=3&ft=eXd.6H-qMyq8Z9SyEhe2N9H3yl7Gb&mime_type=video_mp4&qs=0&rc=NWg2aDs8aTY0aWc5PDQ4Z0BpMzM2dnV2PGw6NTMzNzczM0BjXl41YzAzXmIxL2IuXy5iYSNwbGNrc2wzMWlgLS1kMTZzcw%3D%3D&l=202209261905420102170871060E3C30A2&btag=80000,Mert Gungor,6647518213327847429,arouf_a_eu_son_bac,3696,139,5100000,156300,5100000,196
638,2022-09-26 19:05:44.00279+00,macron,7017851722265611525,La partie 2. Il a réussi à faire illusion auprès de tout le monde !! 😱👀 #pourtoi #fyp #macron #france #action #republique #avc #sarkozy,440,249700,4000000,454,https://v16-webapp.tiktok.com/8f1d9af0ea77436c6910156258f8408b/6332064b/video/tos/maliva/tos-maliva-ve-0068c800-us/0f242042632c460c913918416f4065c6/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=858&bt=429&cs=0&ds=3&ft=eXd.6H-qMyq8ZGSyEhe2NbnJyl7Gb&mime_type=video_mp4&qs=0&rc=OWY8NjtkaGU5N2U1ZGlmZ0BpamQ7eTM6Zm85ODMzNzczM0AxLTRgLS8tNmIxLjZjLzQxYSM1Li9ocjRnaWZgLS1kMTZzcw%3D%3D&l=20220926190543010214029012163B7C47&btag=80000,La 6e République 🇫🇷⚜️,7010452776652833798,la6erepublique,107,23,336900,10300,336900,9
639,2022-09-26 19:05:45.445411+00,macron,6959590941728591110,#ForYou #humour #macron #anglais #school #fyp,11900,248900,1700000,8001,https://v16-webapp.tiktok.com/b0583523450be5ddda22d0517333c682/63320620/video/tos/useast2a/tos-useast2a-pve-0068/48e1b56c980b4db1a2ba1e178b915a93/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1488&bt=744&cs=0&ds=3&ft=eXd.6H-qMyq8ZlSyEhe2NdOPyl7Gb&mime_type=video_mp4&qs=0&rc=Ozs0OjwzZjo2ZmdpZGg5OkBpM2c1czY8ZDNwNTMzNzczM0AtLjQ0YGEtNV8xXy9fYy8yYSNkazQyM2lmcV5gLS1kMTZzcw%3D%3D&l=20220926190544010214029043173C4063&btag=80000,videofundrole,6959579384571954181,videofundrole,490,0,587800,48900,587800,7
640,2022-09-26 19:05:46.522143+00,macron,6971530691431451909,ONE LIFE QUOII 😂  #viral #macron #president #foryou #macrongifle #politique #choque,5443,248400,1700000,3736,https://v16-webapp.tiktok.com/fde7dff065a1716174aa8e28e0a145ac/6332064f/video/tos/useast2a/tos-useast2a-ve-0068c002/9f8883c87b2c48efbb8777d12971ce02/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1226&bt=613&cs=0&ds=3&ft=eXd.6H-qMyq8ZRSyEhe2N7heyl7Gb&mime_type=video_mp4&qs=0&rc=OTRlNzc2ZjZnOGY6ZDg3OUBpanI1bXBtb3Z3NTMzNzczM0AuLS42NS5hXmExYWNeMWA2YSMzc21waDFqZ3NgLS1kMTZzcw%3D%3D&l=20220926190546010214029043173C416A&btag=80000,Ndjiana,6805627488880182277,ndjiana,24700,490,949300,14000,949300,22
544,2022-09-26 19:03:43.283218+00,macron,6989619245629869317,Pour ou contre le vaccin 💉 ? #covid #vaccin #macron,43000,1500000,16500000,30200,https://v16-webapp.tiktok.com/193204d7e863de159c4d15aa131002f8/633205b1/video/tos/useast2a/tos-useast2a-ve-0068c004/7a3b9e3975544a75b3b86c4d87e298a7/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=3904&bt=1952&cs=0&ds=3&ft=eXd.6H-qMyq8ZodyEhe2N-coyl7Gb&mime_type=video_mp4&qs=0&rc=ZjVmOTM7Njc6ZDhpNDw3OUBpMzpramQ6ZmQ0NzMzNzczM0BiYjVjXmM0NWExNmMyXjVgYSNwNDE1cjRnby1gLS1kMTZzcw%3D%3D&l=20220926190342010214029049003CC3F2&btag=80000,TEDDY 🧸,6912421670977733633,letiktokr,2192,636,2300000,356700,2300000,52
545,2022-09-26 19:03:44.441987+00,macron,7081126313607646466,프랑스 대통령을 크리스마스 트리로 만들어버린 타히티 #틱톡밈 #타히티 #크리스마스트리 #마크롱 #tiktokmemes #macron #tahiti,12800,1400000,6700000,34700,https://v16-webapp.tiktok.com/07221bdf9a4d226ad468cf749564ece2/633205a8/video/tos/alisg/tos-alisg-pve-0037/1f2e4ad1aae64a8182405ec42d1375a1/?a=1988&ch=0&cr=0&dr=0&lr=tiktok&cd=0%7C0%7C1%7C0&cv=1&br=2784&bt=1392&cs=0&ds=3&ft=eXd.6H-qMyq8Z7dyEhe2N7PELl7Gb&mime_type=video_mp4&qs=0&rc=aGY6ODg0aTs8NDNlOTk2OEBpM3Q0djc6Zm9tPDMzODgzNEBeNl8tY2MvXmAxNDI2YzNfYSNoZ2JtcjRnYS9gLS1kLy1zcw%3D%3D&l=20220926190344010217095222003E069E&btag=80000,Nut Cracker,6674762504940749825,nutcracker51,4992,201,39700000,1200000,39700000,951
546,2022-09-26 19:03:45.958892+00,macron,6946955577352260870,How hard is it to see this Islamophobia?? #fyp #foryou #boycottfrenchproducts #macron #endislamaphobia #savethemuslims #muslimandproud @muslim,18000,1100000,4300000,38700,https://v16-webapp.tiktok.com/40feb3b7a7e0dbed66b43dcd5432312f/633205ba/video/tos/useast2a/tos-useast2a-ve-0068c004/b9510e5b1ff44bb3a0bf1a67747cd5af/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1762&bt=881&cs=0&ds=3&ft=eXd.6H-qMyq8Z6dyEhe2N7Ewyl7Gb&mime_type=video_mp4&qs=0&rc=MzM8ODtnZGk0MzNoNWdoaUBpMzdpdm9kO2c7NDMzNzczM0AxMDIxLy0xXy0xYWJjXy9iYSNvcjBkZ2xmamhgLS1kMTZzcw%3D%3D&l=20220926190345010223063038183C13A8&btag=80000,Niamh,6914361336395957250,nevtalkspolitics,28700,133,2900000,58100,2900000,99
